,CO2,ring,suplot,depth,tot.root.mg.cm3,tot.root.mg.g,root.smal.2.mm.mg.g,root.2t3.mm.mg.g,root.large.3.mm.mg.g,pH,moisture
1,Elevated,1,1 + 2,0-10 cm,15.13532465,1.721432032,0.457212484,0.880464473,0.383755075,4.96,2.31436837
2,Elevated,1,3 + 4,0-10 cm,21.21985334,2.721202687,1.236594191,1.096822389,0.387786107,5.03,2.056807052
3,Elevated,1,1 + 2,10-30 cm,5.21030841,0.562152653,0.076668366,0.282000732,0.203483555,5.14,2.167766258
4,Elevated,1,3 + 4,10-30 cm,7.113050661,0.847684196,0.134715205,0.229310857,0.483658135,5.15,1.597744361
5,Elevated,1,1 + 2,transition,19.46059553,1.886430208,0.190294957,0.285260513,1.410874738,5.72,2.697674419
6,Elevated,1,3 + 4,transition,1.154350355,0.109952813,0.026574803,0.08337801,0,5.6,2.226524685
7,Elevated,1,1 + 2,30-x,0.176532064,NA,NA,NA,NA,NA,NA
8,Elevated,1,3 + 4,30-x,0.702741417,NA,NA,NA,NA,NA,NA
9,Ambient,2,1 + 2,0-10 cm,28.31106408,3.585633019,1.407145773,1.653392702,0.525094543,5.82,2.801120448
10,Ambient,2,3 + 4,0-10 cm,69.31601373,7.930094476,0.834484306,1.509361437,5.586248734,4.99,2.671755725
11,Ambient,2,1 + 2,10-30 cm,13.07646027,1.385353939,0.060394141,0.291784542,1.033175256,5.86,2.182539683
12,Ambient,2,3 + 4,10-30 cm,30.52529904,3.27685735,0.0950976,0.35203866,2.82972109,5.11,2.095808383
13,Ambient,2,1 + 2,transition,3.083937545,0.268866931,0.013972056,0.085612486,0.169282388,6.75,3.22265625
14,Ambient,2,3 + 4,transition,2.47575116,0.268752437,0.00752587,0.091913051,0.169313515,5.5,2.450518379
15,Ambient,2,1 + 2,30-x,0.859366888,NA,NA,NA,NA,NA,NA
16,Ambient,2,3 + 4,30-x,1.092470967,NA,NA,NA,NA,NA,NA
17,Ambient,3,1 + 2,0-10 cm,23.09226994,2.984072242,0.722155817,1.648002938,0.613913487,4.92,12.31813773
18,Ambient,3,3 + 4,0-10 cm,39.66350511,5.344259898,0.632359686,2.703619612,2.0082806,4.77,12.28070175
19,Ambient,3,1 + 2,10-30 cm,9.26235089,1.035252095,0.017736559,0.247263391,0.770252145,5.19,8.371665133
20,Ambient,3,3 + 4,10-30 cm,17.26381031,1.928662816,0.027456726,0.59079587,1.31041022,5.2,NA
21,Ambient,3,1 + 2,transition,4.149965141,0.428271779,0,0.164656744,0.263615036,5.68,5.719557196
22,Ambient,3,3 + 4,transition,15.70266843,1.552251776,0.023092369,0.070719394,1.458440012,5.5,5.195989061
23,Ambient,3,1 + 2,30-x,0.349237868,NA,NA,NA,NA,NA,NA
24,Ambient,3,3 + 4,30-x,4.200290524,NA,NA,NA,NA,NA,NA
25,Elevated,4,1 + 2,0-10 cm,20.2588342,2.545687471,0.57767461,1.58003004,0.387982821,4.88,5.099150142
26,Elevated,4,3 + 4,0-10 cm,28.61000718,3.276737744,0.404975555,1.17107088,1.700691309,4.93,6.309751434
27,Elevated,4,1 + 2,10-30 cm,36.38457565,4.004035213,0.051686188,0.446797942,3.505551083,5.15,5.197305101
28,Elevated,4,3 + 4,10-30 cm,8.109909974,0.876234447,0.113382194,0.286096463,0.47675579,4.97,5.05952381
29,Elevated,4,1 + 2,transition,9.001639895,0.892492486,0.010714074,0.125923259,0.755855153,5.47,4.068117313
30,Elevated,4,3 + 4,transition,0.673270362,0.062047272,0.023692004,0.010487196,0.027868072,6.08,4.209541628
31,Elevated,4,1 + 2,30-x,0.707911342,NA,NA,NA,NA,NA,NA
32,Elevated,4,3 + 4,30-x,0.715381065,NA,NA,NA,NA,NA,NA
33,Elevated,5,1 + 2,0-10 cm,40.10667869,5.854734416,0.499578238,2.009563043,3.345593135,4.83,11.80811808
34,Elevated,5,3 + 4,0-10 cm,21.00672476,2.888423786,0.532304664,1.386666866,0.969452256,5.12,12.70611057
35,Elevated,5,1 + 2,10-30 cm,12.52294111,1.465354526,0.128993495,0.631003765,0.705357267,5.51,7.610789981
36,Elevated,5,3 + 4,10-30 cm,38.50381327,4.602390246,0.201113071,0.560824928,3.840452247,4.72,8.80929332
37,Elevated,5,1 + 2,transition,0.437509233,0.047019185,0.010928888,0.036090298,0,5.18,5.744888023
38,Elevated,5,3 + 4,transition,0.486968019,0.061784643,0.007970374,0.053814269,0,5.28,6.25574977
39,Elevated,5,1 + 2,30-x,1.231448197,NA,NA,NA,NA,NA,NA
40,Elevated,5,3 + 4,30-x,1.216100311,NA,NA,NA,NA,NA,NA
41,Ambient,6,1 + 2,0-10 cm,19.01897248,2.419109443,0.550925157,1.529103322,0.339080964,6.73,9.404096834
42,Ambient,6,3 + 4,0-10 cm,31.40723922,4.414551889,1.062434251,2.002053909,1.350063729,5.71,6.116504854
43,Ambient,6,1 + 2,10-30 cm,41.42611592,3.987269111,0.060898861,0.239162957,3.687207293,5.02,6.744868035
44,Ambient,6,3 + 4,10-30 cm,53.55565074,6.682163317,0.159509612,0.736080331,5.786573374,5.05,5.009276438
45,Ambient,6,1 + 2,transition,0.123876471,0.010295901,0.001036269,0.009259631,0,6.11,5.925250684
46,Ambient,6,3 + 4,transition,2.391689635,0.23139586,0.04392237,0.112022147,0.075451343,5.15,5.360443623
47,Ambient,6,1 + 2,30-x,0.103450713,NA,NA,NA,NA,NA,NA
48,Ambient,6,3 + 4,30-x,0.407375441,NA,NA,NA,NA,NA,NA