Sample code,Treatment,Mesh size,Outter barrier,inner substrate  ,P Microbial Biomass ,Microbial Biomass C,Microbial Biomass N  ,total lipids,
3,trenched,1000,PPNG SL,SL,6.407421879,221.0153284,30.90257162,7.631079357,
12,trenched,1000,PPNG SL,SL,11.8861094,179.8136552,28.63811399,7.815619268,
21,trenched,1000,PPNG SL,SL,8.456520336,150.8287799,24.27012485,6.537822977,
30,trenched,1000,PPNG SL,SL,7.570681069,178.1676453,26.5016159,8.756061446,
39,trenched,1000,PPNG SL,SL,8.031676528,355.3725313,61.44182275,11.27260541,
48,trenched,1000,PPNG SL,SL,7.239778514,469.9808752,55.34431186,12.41220006,
3,not trenched,1000,PPNG SL,SL,8.299554096,174.1028687,39.8153691,9.869747796,
12,not trenched,1000,PPNG SL,SL,4.823712836,172.6761057,24.5745516,8.77865602,
21,not trenched,1000,PPNG SL,SL,5.945417106,123.1096419,21.68176647,5.830667095,
30,not trenched,1000,PPNG SL,SL,8.467804943,155.7146283,31.48407397,10.54889153,
39,not trenched,1000,PPNG SL,SL,8.805950493,190.3193584,35.09895242,10.66603984,
48,not trenched,1000,PPNG SL,SL,5.627919081,158.4967176,23.02064283,7.995240003,