Species,Life form,Longitude,Latitude,MAT,MAP,K value_yr-1_,Ln(k),Size,C (mg/g),N (mg/g),C: N,P (mg/g),Lignin (%),Ca (mg/g),Reference
native ,Mixed,91.93,25.57,16.4,1829,1.62,0.48,fine root,471,11.8,39.9,0.36,25.9,,Arunachalam et al. 1996
native ,Mixed,91.93,25.57,16.4,1829,1.68,0.52,fine root,444,9.5,46.7,0.48,22.9,,Arunachalam et al. 1996
native ,Mixed,91.93,25.57,16.4,1829,1.74,0.55,fine root,446,7.4,60.3,0.88,22.3,,Arunachalam et al. 1996
Phaseolus vulgaris ,Graminoid,75.85,29.97,28,2500,0.033,-3.41,,473,12.2,38.8,,29.4,,Arunachalam et al. 2003
Pisum sativum,Graminoid,75.85,29.97,28,2500,0.032,-3.44,,462,15.5,29.8,,27.5,,Arunachalam et al. 2003
Eichhornia crassipes ,Graminoid,93.51,28,21.4,2727,4.745,1.56,,336,15.7,21.3,2.08,18.7,,Balasubramanian et al. 2012
Eichhornia crassipes ,Graminoid,93.51,28,21.4,2727,3.83,1.34,,296,12.3,24,1.93,23.9,,Balasubramanian et al. 2012
Eichhornia crassipes ,Graminoid,93.51,28,21.4,2727,3.03,1.11,,288,10.1,28.5,1.02,26.3,,Balasubramanian et al. 2012
Pinus sylvestris L. ,Conifer,16.5,60.82,3.8,609,0.195,-1.63,fine root,515,5.7,90.4,0.69,,1.6,Berg 1984
Pinus sylvestris L. ,Conifer,16.5,60.82,3.8,609,0.153,-1.88,fine root,514,3.4,151.2,0.73,,1.8,Berg 1984
Dacryodes excelsa ,Evergreen broadleaf,-65.75,18.28,22.5,4000,0.83,-0.19,fine root,511,16,31.9,0.67,26.8,3.4,Bloomfield et al. 1993
Prestoea montana,Evergreen broadleaf,-65.75,18.28,22.5,4000,0.6,-0.51,fine root,471,9,52.3,0.69,28.7,3.1,Bloomfield et al. 1993
native ,Graminoid,-105.82,40.67,-3.8,930,0.0062,-5.08,fine root,,11,,,,,Bryant et al. 1998
native ,Graminoid,-105.82,40.67,-3.8,930,0.0106,-4.55,fine root,,11,,,,,Bryant et al. 1998
native ,Graminoid,-105.82,40.67,-3.8,930,0.0067,-5.01,fine root,,11,,,,,Bryant et al. 1998
Halimione portulacoides ,Shrub ,5.29,52.13,9,807,0.441,-0.82,,,,,,,,Buth 1987
Halimione portulacoides ,Shrub ,5.29,52.13,9,807,0.311,-1.17,,,,,,,,Buth 1987
native ,Mixed,-65.38,-42.65,13.7,235.9,0.008,-4.83,fine root,417,8.4,49.7,,11.5,,Carrera et al. 2008
native ,Mixed,-65.38,-42.65,13.7,235.9,0.006,-5.12,fine root,446,8.7,51.3,,14.5,,Carrera et al. 2008
Picea sitchensis ,Conifer,-124,45.06,10,3420,0.021,-3.86,coarse root,,,,,,,Chen et al. 2001
Picea sitchensis ,Conifer,-124,45.06,10,3420,0.016,-4.14,coarse root,,,,,,,Chen et al. 2001
Tsuga heterophylla ,Conifer,-124,45.06,10,3420,0.04,-3.22,coarse root,505,2.5,202,,31.3,,Chen et al. 2001
Tsuga heterophylla ,Conifer,-124,45.06,10,3420,0.049,-3.02,coarse root,501,1.6,313,,24.5,,Chen et al. 2001
Pseudotsuga menziesii ,Conifer,-91.53,31.72,8.5,2300,0.011,-4.51,coarse root,513,2.7,190,,34,,Chen et al. 2001
Pseudotsuga menziesii ,Conifer,-91.53,31.72,8.5,2300,0.013,-4.34,coarse root,505,2.7,187,,32.1,,Chen et al. 2001
Tsuga heterophylla ,Conifer,-91.53,31.72,8.5,2300,0.034,-3.38,coarse root,505,2.5,202,,31.3,,Chen et al. 2001
Tsuga heterophylla ,Conifer,-91.53,31.72,8.5,2300,0.033,-3.41,coarse root,501,1.6,313,,24.5,,Chen et al. 2001
Pinus contorta ,Conifer,-121.61,43.74,5.7,525,0.025,-3.69,coarse root,506,2.1,241,,29.6,,Chen et al. 2001
Pinus contorta,Conifer,-121.61,43.74,5.7,525,0.03,-3.51,coarse root,512,2.8,183,,36.4,,Chen et al. 2001
Pinus ponderosa ,Conifer,-121.61,43.74,5.7,525,0.077,-2.56,coarse root,507,3.4,149,,27.2,,Chen et al. 2001
Pinus ponderosa ,Conifer,-121.61,43.74,5.7,525,0.073,-2.62,coarse root,511,1.8,284,,27.7,,Chen et al. 2001
native ,Evergreen broadleaf,-163,5.32,27,5050,1.064,0.06,fine root,440,12,36.7,,34.5,,Chimner and Ewel 2005
native ,Evergreen broadleaf,-163,5.32,27,5050,0.58,-0.54,fine root,442,13,34,,35.2,,Chimner and Ewel 2005
native ,Graminoid,-75.67,37.67,14.2,1050,0.51,-0.67,coarse root,,4.9,,0.7,17,,Conn and Day 1997
native ,Graminoid,-75.67,37.67,14.2,1050,0.43,-0.84,coarse root,,4.9,,0.7,17,,Conn and Day 1997
native ,Graminoid,-75.67,37.67,14.2,1050,0.37,-0.99,coarse root,,4.9,,0.7,17,,Conn and Day 1997
native ,Graminoid,-75.67,37.67,14.2,1050,0.34,-1.08,coarse root,,4.9,,0.7,17,,Conn and Day 1997
native ,Graminoid,-75.67,37.67,14.2,1050,0.29,-1.24,coarse root,,9.1,,1,17,,Conn and Day 1997
native ,Graminoid,-75.67,37.67,14.2,1050,0.33,-1.11,coarse root,,9.1,,1,17,,Conn and Day 1997
native ,Graminoid,-75.67,37.67,14.2,1050,0.3,-1.2,coarse root,,9.1,,1,17,,Conn and Day 1997
native ,Graminoid,-75.67,37.67,14.2,1050,0.21,-1.56,coarse root,,9.1,,1,17,,Conn and Day 1997
native ,Graminoid,-75.67,37.67,14.2,1050,0.34,-1.08,fine root,,4.7,,1.3,10,,Conn and Day 1997
native ,Graminoid,-75.67,37.67,14.2,1050,0.44,-0.82,fine root,,4.7,,1.3,10,,Conn and Day 1997
native ,Graminoid,-75.67,37.67,14.2,1050,0.47,-0.76,fine root,,4.7,,1.3,10,,Conn and Day 1997
native ,Graminoid,-75.67,37.67,14.2,1050,0.55,-0.6,fine root,,4.7,,1.3,10,,Conn and Day 1997
native ,Graminoid,-75.67,37.67,14.2,1050,0.7,-0.36,fine root,,5.9,,1.5,9.5,,Conn and Day 1997
native ,Graminoid,-75.67,37.67,14.2,1050,0.81,-0.21,fine root,,5.9,,1.5,9.5,,Conn and Day 1997
native ,Graminoid,-75.67,37.67,14.2,1050,0.69,-0.37,fine root,,5.9,,1.5,9.5,,Conn and Day 1997
native ,Graminoid,-75.67,37.67,14.2,1050,0.62,-0.48,fine root,,5.9,,1.5,9.5,,Conn and Day 1997
native ,Graminoid,-75.67,37.67,14.2,1050,0.46,-0.78,fine root,,7,,1.3,13,,Conn and Day 1997
native ,Graminoid,-75.67,37.67,14.2,1050,0.74,-0.3,fine root,,7,,1.3,13,,Conn and Day 1997
native ,Graminoid,-75.67,37.67,14.2,1050,0.72,-0.33,fine root,,7,,1.3,13,,Conn and Day 1997
native ,Graminoid,-75.67,37.67,14.2,1050,0.68,-0.39,fine root,,7,,1.3,13,,Conn and Day 1997
native ,Graminoid,-75.67,37.67,14.2,1050,0.68,-0.39,fine root,,8.1,,1.2,20,,Conn and Day 1997
native ,Graminoid,-75.67,37.67,14.2,1050,0.97,-0.03,fine root,,8.1,,1.2,20,,Conn and Day 1997
native ,Graminoid,-75.67,37.67,14.2,1050,0.89,-0.12,fine root,,8.1,,1.2,20,,Conn and Day 1997
native ,Graminoid,-75.67,37.67,14.2,1050,0.9,-0.11,fine root,,8.1,,1.2,20,,Conn and Day 1997
native ,Graminoid,-75.67,37.67,14.2,1050,0.29,-1.24,fine root,,14.6,,0.5,27,,Conn and Day 1997
native ,Graminoid,-75.67,37.67,14.2,1050,0.22,-1.51,fine root,,14.6,,0.5,27,,Conn and Day 1997
native ,Graminoid,-75.67,37.67,14.2,1050,0.16,-1.83,fine root,,14.6,,0.5,27,,Conn and Day 1997
native ,Graminoid,-75.67,37.67,14.2,1050,0.13,-2.04,fine root,,14.6,,0.5,27,,Conn and Day 1997
native ,Graminoid,-75.67,37.67,14.2,1050,0.34,-1.08,fine root,,13.3,,1.3,17,,Conn and Day 1997
native ,Graminoid,-75.67,37.67,14.2,1050,0.24,-1.43,fine root,,13.3,,1.3,17,,Conn and Day 1997
native ,Graminoid,-75.67,37.67,14.2,1050,0.2,-1.61,fine root,,13.3,,1.3,17,,Conn and Day 1997
native ,Graminoid,-75.67,37.67,14.2,1050,0.22,-1.51,fine root,,13.3,,1.3,17,,Conn and Day 1997
Spartina patens ,Graminoid,-75.67,37.67,14.2,1050,0.29,-1.24,fine root,,,,,,,Conn and Day 1997
Spartina patens ,Graminoid,-75.67,37.67,14.2,1050,0.33,-1.11,fine root,,,,,,,Conn and Day 1997
Spartina patens ,Graminoid,-75.67,37.67,14.2,1050,0.3,-1.2,fine root,,,,,,,Conn and Day 1997
Spartina patens ,Graminoid,-75.67,37.67,14.2,1050,0.21,-1.56,fine root,,,,,,,Conn and Day 1997
native ,Mixed,-81.14,33.15,17.8,1218,0.63,-0.46,coarse root,496,5.2,96,1.1,56.4,,Crawford et al. 2007
native ,Mixed,-81.14,33.15,17.8,1218,0.633,-0.46,coarse root,496,5.2,96,1.1,56.4,,Crawford et al. 2007
native ,Mixed,-91.11,43.3,7.6,815,0.65,-0.43,coarse root,475,8.4,57,0.9,55.8,,Crawford et al. 2007
native ,Mixed,-91.11,43.3,7.6,815,0.606,-0.5,coarse root,475,8.4,57,0.9,55.8,,Crawford et al. 2007
native ,Mixed,-81.14,33.15,17.8,1218,1.57,0.45,coarse root,496,5.2,96,1.1,56.4,,Crawford et al. 2007
native ,Mixed,-81.14,33.15,17.8,1218,0.61,-0.49,coarse root,496,5.2,96,1.1,56.4,,Crawford et al. 2007
native ,Mixed,-91.11,43.3,7.6,815,0.574,-0.56,coarse root,475,8.4,57,0.9,55.8,,Crawford et al. 2007
native ,Mixed,-91.11,43.3,7.6,815,0.633,-0.46,coarse root,475,8.4,57,0.9,55.8,,Crawford et al. 2007
native ,Mixed,-81.14,33.15,17.8,1218,0.657,-0.42,coarse root,496,5.2,96,1.1,56.4,,Crawford et al. 2007
native ,Mixed,-81.14,33.15,17.8,1218,0.636,-0.45,coarse root,496,5.2,96,1.1,56.4,,Crawford et al. 2007
native ,Mixed,-91.11,43.3,7.6,815,0.643,-0.44,coarse root,475,8.4,57,0.9,55.8,,Crawford et al. 2007
native ,Mixed,-91.11,43.3,7.6,815,0.643,-0.44,coarse root,475,8.4,57,0.9,55.8,,Crawford et al. 2007
native ,Mixed,-81.14,33.15,17.8,1218,0.706,-0.35,coarse root,496,5.2,96,1.1,56.4,,Crawford et al. 2007
native ,Mixed,-81.14,33.15,17.8,1218,0.601,-0.51,coarse root,496,5.2,96,1.1,56.4,,Crawford et al. 2007
native ,Mixed,-91.11,43.3,7.6,815,0.687,-0.38,coarse root,475,8.4,57,0.9,55.8,,Crawford et al. 2007
native ,Mixed,-91.11,43.3,7.6,815,0.663,-0.41,coarse root,475,8.4,57,0.9,55.8,,Crawford et al. 2007
native mixed oaks,Deciduous broadleaf,-82.37,39.18,11.3,1024,2.6,0.96,fine root,,,,,,,Dress and Boerner 2003
native mixed oaks,Deciduous broadleaf,-82.37,39.18,11.3,1024,1.22,0.2,fine root,,,,,,,Dress and Boerner 2003
native mixed oaks,Deciduous broadleaf,-82.37,39.18,11.3,1024,0.554,-0.59,fine root,,,,,,,Dress and Boerner 2003
native mixed oaks,Deciduous broadleaf,-82.37,39.18,11.3,1024,3.168,1.15,fine root,,,,,,,Dress and Boerner 2003
native mixed oaks,Deciduous broadleaf,-82.37,39.18,11.3,1024,1.35,0.3,fine root,,,,,,,Dress and Boerner 2003
native mixed oaks,Deciduous broadleaf,-82.37,39.18,11.3,1024,0.589,-0.53,fine root,,,,,,,Dress and Boerner 2003
native mixed oaks,Deciduous broadleaf,-82.37,39.18,11.3,1024,2.976,1.09,fine root,,,,,,,Dress and Boerner 2003
native mixed oaks,Deciduous broadleaf,-82.37,39.18,11.3,1024,1.256,0.23,fine root,,,,,,,Dress and Boerner 2003
native mixed oaks,Deciduous broadleaf,-82.37,39.18,11.3,1024,0.567,-0.57,fine root,,,,,,,Dress and Boerner 2003
Fraxinus mandshurica ,Deciduous broadleaf,127.53,45.38,2.2,652,0.628,-0.47,fine root,,27.8,,,,,Fan and Guo 2010
Fraxinus mandshurica ,Deciduous broadleaf,127.53,45.38,2.2,652,0.563,-0.57,fine root,,18.1,,,,,Fan and Guo 2010
Fraxinus mandshurica ,Deciduous broadleaf,127.53,45.38,2.2,652,0.505,-0.68,fine root,,9.3,,,,,Fan and Guo 2010
Larix gmelinii ,Conifer,127.53,45.38,2.2,652,0.742,-0.3,fine root,,21.5,,,,,Fan and Guo 2010
Larix gmelinii ,Conifer,127.53,45.38,2.2,652,0.712,-0.34,fine root,,14.8,,,,,Fan and Guo 2010
Larix gmelinii ,Conifer,127.53,45.38,2.2,652,0.612,-0.49,fine root,,12.4,,,,,Fan and Guo 2010
Achillea millefolium,Graminoid,-72.18,42.48,7,1237,1.251,0.22,fine root,,15.1,,,,,Fornara et al. 2009
Asclepias tuberosa,Graminoid,-72.18,42.48,7,1237,0.957,-0.04,fine root,,18.1,,,,,Fornara et al. 2009
Liatris aspera,Graminoid,-72.18,42.48,7,1237,0.938,-0.06,fine root,,9,,,,,Fornara et al. 2009
Monarda fistulosa ,Graminoid,-72.18,42.48,7,1237,1.415,0.35,fine root,,8.9,,,,,Fornara et al. 2009
Solidago rigida,Graminoid,-72.18,42.48,7,1237,1.534,0.43,fine root,,11.6,,,,,Fornara et al. 2009
Amorpha canescens,Graminoid,-72.18,42.48,7,1237,1.279,0.25,fine root,,16.2,,,,,Fornara et al. 2009
Lespedeza capitata,Graminoid,-72.18,42.48,7,1237,1.011,0.01,fine root,,20,,,,,Fornara et al. 2009
Lupinus perennis,Graminoid,-72.18,42.48,7,1237,0.989,-0.01,fine root,,19.3,,,,,Fornara et al. 2009
Petalostimum purpureum,Graminoid,-72.18,42.48,7,1237,1.451,0.37,fine root,,13.4,,,,,Fornara et al. 2009
Poa pratensis,Graminoid,-72.18,42.48,7,1237,1.945,0.67,fine root,,11.8,,,,,Fornara et al. 2009
Agropyron smithii,Graminoid,-72.18,42.48,7,1237,1.685,0.52,fine root,,11.7,,,,,Fornara et al. 2009
Elymus canadensis,Graminoid,-72.18,42.48,7,1237,1.564,0.45,fine root,,13.3,,,,,Fornara et al. 2009
Koeleria cristata,Graminoid,-72.18,42.48,7,1237,1.957,0.67,fine root,,12.6,,,,,Fornara et al. 2009
Andropogon gerardi,Graminoid,-72.18,42.48,7,1237,2.2,0.79,fine root,,6,,,,,Fornara et al. 2009
Schizachyrium scoparium,Graminoid,-72.18,42.48,7,1237,2.386,0.87,fine root,,8.7,,,,,Fornara et al. 2009
Sorghastrum nutans ,Graminoid,-72.18,42.48,7,1237,2.208,0.79,fine root,,8.7,,,,,Fornara et al. 2009
Chamaecyparis obtusa ,Conifer,135.72,35.07,14.9,1419,0.243,-1.41,fine root,,,36,,,,Fujii and Takeda 2012
Chamaecyparis obtusa ,Conifer,135.72,35.07,14.9,1419,0.206,-1.58,fine root,,,36,,,,Fujii and Takeda 2012
Hopea ferrea,Evergreen broadleaf,101.92,14.5,26.2,1240,0.55,-0.6,coarse root 2-5 mm,491,6.7,73.3,,,,Fujimaki et al. 2008
Hopea ferrea,Evergreen broadleaf,101.92,14.5,26.2,1240,1.27,0.24,fine root,501,11,45.5,,,,Fujimaki et al. 2008
Mixed trees,deciduous broad-leaved trees,101.92,14.5,26.2,1240,0.73,-0.31,fine root,507,10.1,50.2,,,,Fujimaki et al. 2008
Arundinaria pusilla ,deciduous broad-leaved trees,101.92,14.5,26.2,1240,0.66,-0.42,fine root,509,11.3,45,,,,Fujimaki et al. 2008
native ,Graminoid,116.68,43.58,0.7,330,0.2,-1.61,,458,10.4,44,,23,,Giese et al. 2009
native ,Graminoid,116.68,43.55,0.7,330,0.23,-1.47,,357,8.3,43,,20,,Giese et al. 2009
native ,Graminoid,116.68,43.55,0.7,330,0.17,-1.77,,384,10.1,38,,20.4,,Giese et al. 2009
native ,Graminoid,116.68,43.58,0.7,330,0.2,-1.61,,458,10.4,44,,23,,Giese et al. 2009
native ,Graminoid,116.68,43.55,0.7,330,0.15,-1.9,,357,8.3,43,,20,,Giese et al. 2009
native ,Graminoid,116.68,43.55,0.7,330,0.22,-1.51,,384,10.1,38,,20.4,,Giese et al. 2009
Bouteloua gracilis,Graminoid,-104.77,40.77,8.2,322,0.26,-1.35,,483,8,60.4,,14.6,,Gill and Burke 2002
Bouteloua gracilis,Graminoid,-104.77,40.77,8.2,322,0.22,-1.51,,483,8,60.4,,14.6,,Gill and Burke 2002
Bouteloua gracilis,Graminoid,-104.77,40.77,8.2,322,0.17,-1.77,,483,8,60.4,,14.6,,Gill and Burke 2002
Bouteloua gracilis,Graminoid,-104.77,40.77,8.2,322,0.14,-1.97,,483,8,60.4,,14.6,,Gill and Burke 2002
Calamagrostis angustifolia ,Graminoid,133.52,47.58,1.9,600,2.853,1.05,,437,11.6,37.7,1,,,Guo et al. 2008
Calamagrostis angustifolia ,Graminoid,133.52,47.58,1.9,600,2.746,1.01,,413,10,41.3,0.9,,,Guo et al. 2008
Carex meyeriana,Graminoid,133.52,47.58,1.9,600,2.568,0.94,,420,10.4,40.4,0.7,,,Guo et al. 2008
Carex meyeriana,Graminoid,133.52,47.58,1.9,600,2.963,1.09,,437,11.6,37.7,1,,,Guo et al. 2008
Carex lasiocarpa,Graminoid,133.52,47.58,1.9,600,2.945,1.08,,413,10,41.3,0.9,,,Guo et al. 2008
Carex lasiocarpa,Graminoid,133.52,47.58,1.9,600,2.619,0.96,,420,10.4,40.4,0.7,,,Guo et al. 2008
Chenopodium album,Graminoid,75.85,29.97,25.2,1365,13.61,2.61,,522,9.8,53.3,,3.4,,Gupta and Singh 1981
Chenopodium album,Graminoid,75.85,29.97,25.2,1365,10.366,2.34,,522,9.8,53.3,,3.4,,Gupta and Singh 1981
Chenopodium album,Graminoid,75.85,29.97,25.2,1365,8.942,2.19,,522,9.8,53.3,,3.4,,Gupta and Singh 1981
Chenopodium album,Graminoid,75.85,29.97,25.2,1365,3.468,1.24,,522,9.8,53.3,,3.4,,Gupta and Singh 1981
Desmostachya bipinnata,Graminoid,75.85,29.97,25.2,1365,0.803,-0.22,,520,5.6,92.9,,8.2,,Gupta and Singh 1981
Desmostachya bipinnata,Graminoid,75.85,29.97,25.2,1365,0.767,-0.27,,520,5.6,92.9,,8.2,,Gupta and Singh 1981
Desmostachya bipinnata,Graminoid,75.85,29.97,25.2,1365,0.621,-0.48,,520,5.6,92.9,,8.2,,Gupta and Singh 1981
Desmostachya bipinnata,Graminoid,75.85,29.97,25.2,1365,0.694,-0.37,,520,5.6,92.9,,8.2,,Gupta and Singh 1981
mixed grasses,Graminoid,75.85,29.97,25.2,1365,1.862,0.62,,413,13.5,30.6,,6.3,,Gupta and Singh 1981
mixed grasses,Graminoid,75.85,29.97,25.2,1365,1.643,0.5,,413,13.5,30.6,,6.3,,Gupta and Singh 1981
mixed grasses,Graminoid,75.85,29.97,25.2,1365,1.46,0.38,,413,13.5,30.6,,6.3,,Gupta and Singh 1981
mixed grasses,Graminoid,75.85,29.97,25.2,1365,1.241,0.22,,413,13.5,30.6,,6.3,,Gupta and Singh 1981
Dichanthium annulatum,Graminoid,75.85,29.97,25.2,1365,2.592,0.95,,484,6.7,72.2,,4.7,,Gupta and Singh 1981
Dichanthium annulatum,Graminoid,75.85,29.97,25.2,1365,2.154,0.77,,484,6.7,72.2,,4.7,,Gupta and Singh 1981
Dichanthium annulatum,Graminoid,75.85,29.97,25.2,1365,1.46,0.38,,484,6.7,72.2,,4.7,,Gupta and Singh 1981
Dichanthium annulatum,Graminoid,75.85,29.97,25.2,1365,1.679,0.52,,484,6.7,72.2,,4.7,,Gupta and Singh 1981
Sesbania bispinosa,Graminoid,75.85,29.97,25.2,1365,14.02,2.64,,509,13.8,36.9,,2.1,,Gupta and Singh 1981
Sesbania bispinosa,Graminoid,75.85,29.97,25.2,1365,4.49,1.5,,509,13.8,36.9,,2.1,,Gupta and Singh 1981
Sesbania bispinosa,Graminoid,75.85,29.97,25.2,1365,4.563,1.52,,509,13.8,36.9,,2.1,,Gupta and Singh 1981
Sesbania bispinosa,Graminoid,75.85,29.97,25.2,1365,4.526,1.51,,509,13.8,36.9,,2.1,,Gupta and Singh 1981
Juncus roemerianus,Graminoid,-92.13,46.75,4.4,708,1.216,0.2,,465,4.6,101,0.63,,,Hackney and De La Cruz 1980
Phragmites australis,Graminoid,13.75,53.37,8.4,564,5.568,1.72,,447,9.4,47.6,,,,Hartmann 1999
Phragmites australis,Graminoid,13.75,53.37,8.4,564,3.209,1.17,,447,9.4,47.6,,,,Hartmann 1999
Phragmites australis,Graminoid,13.75,53.37,8.4,564,2.247,0.81,,447,9.4,47.6,,,,Hartmann 1999
Phragmites australis,Graminoid,13.75,53.37,8.4,564,1.243,0.22,,447,9.4,47.6,,,,Hartmann 1999
Phragmites australis,Graminoid,13.75,53.37,8.4,564,5.556,1.71,,447,9.4,47.6,,,,Hartmann 1999
Phragmites australis,Graminoid,13.75,53.37,8.4,564,3.286,1.19,,447,9.4,47.6,,,,Hartmann 1999
Phragmites australis,Graminoid,13.75,53.37,8.4,564,2.274,0.82,,447,9.4,47.6,,,,Hartmann 1999
Phragmites australis,Graminoid,13.75,53.37,8.4,564,1.167,0.15,,447,9.4,47.6,,,,Hartmann 1999
Carex paniculata,Graminoid,13.75,53.37,8.4,564,4.428,1.49,,460,10.1,45.5,,,,Hartmann 1999
Carex paniculata,Graminoid,13.75,53.37,8.4,564,2.741,1.01,,460,10.1,45.5,,,,Hartmann 1999
Carex paniculata,Graminoid,13.75,53.37,8.4,564,1.876,0.63,,460,10.1,45.5,,,,Hartmann 1999
Carex paniculata,Graminoid,13.75,53.37,8.4,564,0.991,-0.01,,460,10.1,45.5,,,,Hartmann 1999
Carex paniculata,Graminoid,13.75,53.37,8.4,564,4.458,1.49,,460,10.1,45.5,,,,Hartmann 1999
Carex paniculata,Graminoid,13.75,53.37,8.4,564,2.663,0.98,,460,10.1,45.5,,,,Hartmann 1999
Carex paniculata,Graminoid,13.75,53.37,8.4,564,1.868,0.62,,460,10.1,45.5,,,,Hartmann 1999
Carex paniculata,Graminoid,13.75,53.37,8.4,564,1.026,0.03,,460,10.1,45.5,,,,Hartmann 1999
Carex riparia,Graminoid,13.75,53.37,8.4,564,4.284,1.45,,443,9.2,48.2,,,,Hartmann 1999
