year,plot,co2,fc_grow_wood,fc_grow_croot,fc_grow_leaf,fc_grow_froot,fc_npp,c_wood,c_croot,c_leaf,c_froot,fc_leaf_litter,fc_froot_to_litter,fc_wood_to_litter,fn_leaf_to_litter,fn_wood_to_litter,n_leaf_peak,n_wood,n_croot,n_froot,fn_grow_leaf,fn_grow_wood,fn_grow_froot,fn_plantuptake,fn_grossmin,fn_netmin ,ptrait_lai,ptrait_lai_peak,fw_transp 
1998,1,ELE,725,60,168,77,1030,4673,1352,195,51,167.5,45,65,3.16,0.63,6.53,15.28,4.56,0.61,6.53,2.46,1.05,7.26,          NA,          NA,          NA,4.8,          NA
1998,2,ELE,700,65,194,80,1039,4224,1365,234,47,193.5,63,93,3.58,0.98,7.73,13.85,4.67,0.7,7.73,2.37,1.23,7.79,          NA,          NA,          NA,6.16,          NA
1998,3,AMB,511,53,154,105,824,3935,1435,188,62,154.3,91,126,3.29,1.46,6.51,12.14,4.56,0.96,6.51,1.63,1.69,7.2,          NA,          NA,          NA,4.95,          NA
1998,4,AMB,567,53,171,85,875,4295,1390,207,38,170.5,48,113,3.64,0.74,8.48,16.19,5.41,0.53,8.48,2.2,1.23,7.67,          NA,          NA,          NA,5.62,          NA
1998,5,AMB,535,51,177,26,789,4315,1505,233,17,176.9,29,59,3.62,0.49,8.34,8.07,2.95,0.25,8.34,1.05,0.43,5.7,          NA,          NA,          NA,6.95,          NA
1999,1,ELE,574,46,220,135,975,5019,1376,210,83,220,131,93,3.44,1.84,6.78,17.08,4.71,1.18,6.78,1.94,1.9,7.84,          NA,          NA,    1.999863,5.58,     541.189
1999,2,ELE,600,51,245,127,1022,4757,1386,212,63,245,112,205,4.05,1.51,7.01,15.7,4.83,0.88,7.01,2.02,1.69,7.17,          NA,          NA,    2.148630,6.11,     486.480
1999,3,AMB,502,44,194,58,798,4293,1483,233,44,193.8,67,26,3.51,1.12,8.71,13.59,4.69,0.7,8.71,1.58,0.96,8.62,          NA,          NA,    1.980575,5.47,     610.547
1999,4,AMB,566,46,214,179,1005,4879,1401,226,127,214.4,163,271,3.76,2.33,9.01,18.19,5.58,1.8,9.01,2.17,2.54,9.49,          NA,          NA,    2.265945,6.31,     538.512
1999,5,AMB,465,46,205,91,808,4587,1535,178,44,204.7,78,111,3.66,1.14,6.4,8.9,3.04,0.6,6.4,0.92,1.29,4.5,          NA,          NA,    1.942548,5.19,          NA
2000,1,ELE,618,51,244,320,1233,5422,1415,246,92,243.7,160,172,3.97,2.36,7.92,18.71,4.84,1.34,7.92,1.76,4.01,10.96,          NA,          NA,    2.300849,6.22,          NA
2000,2,ELE,702,55,242,170,1169,5387,1441,257,58,242.3,69,127,4.14,1.01,8.08,17.37,4.96,0.76,8.08,1.8,1.86,9.37,          NA,          NA,    2.504082,6.37,          NA
2000,3,AMB,611,46,215,44,916,4952,1521,225,29,214.8,36,78,3.77,0.57,7.65,15.2,4.81,0.42,7.65,1.73,0.7,5.47,          NA,          NA,    2.056740,5.48,          NA
2000,4,AMB,673,53,222,119,1066,5304,1432,218,45,222.1,89,239,4.26,1.26,8.43,20.29,5.74,0.65,8.43,2.26,1.65,7.69,          NA,          NA,    2.305836,5.95,          NA
2000,5,AMB,543,48,218,208,1017,5034,1571,232,21,218.4,71,104,4.22,1.05,8.27,10.59,3.18,0.35,8.27,1.84,2.63,10.59,          NA,          NA,    2.292767,6.07,          NA
2001,1,ELE,581,47,234,632,1493,5687,1460,247,542,233.7,412,52,3.79,5.16,7.81,19.91,4.94,5.82,7.81,1.3,7.27,13.02,          NA,          NA,    2.312575,6.01,          NA
2001,2,ELE,663,53,217,147,1081,5888,1464,229,160,216.8,111,141,3.65,1.66,6.84,18.94,5.09,1.74,6.84,1.69,2.05,7.24,          NA,          NA,    2.466219,6.15,          NA
2001,3,AMB,561,43,223,44,871,5664,1564,193,33,223.5,39,67,4.04,0.65,6.41,16.27,4.89,0.51,6.41,1.16,0.69,4.98,          NA,          NA,    2.109151,5.26,          NA
2001,4,AMB,684,55,206,158,1103,5657,1444,210,112,206,103,146,3.88,1.43,7.88,21.88,5.87,1.5,7.88,1.72,2.15,8.17,          NA,          NA,    2.325863,5.77,          NA
2001,5,AMB,500,43,211,365,1119,5471,1593,192,282,210.7,341,88,3.9,4.26,6.45,11.58,3.27,3.48,6.45,1.07,4.7,8.77,          NA,          NA,    2.273123,5.79,          NA
2002,1,ELE,545,43,232,484,1304,6183,1502,237,397,231.7,382,150,3.39,4.71,6.97,21.35,5.05,4.52,6.97,1.56,6.09,11.2,          NA,          NA,    2.167945,5.53,          NA
2002,2,ELE,596,48,224,248,1117,6270,1490,229,154,224.5,133,171,3.03,1.85,7.02,20.6,5.22,1.86,7.02,1.8,3.14,9.36,          NA,          NA,    2.215836,5.47,          NA
2002,3,AMB,528,39,211,79,857,6333,1604,219,18,210.9,25,70,3.33,0.43,7.22,17.89,5.01,0.29,7.22,1.74,1.32,8.52,          NA,          NA,    2.134493,5.24,          NA
2002,4,AMB,620,47,222,89,978,6148,1480,229,84,221.5,81,89,3.7,1.26,7.6,23.84,6.02,1.09,7.6,2.11,1.42,7.72,          NA,          NA,    2.469315,6.01,          NA
2002,5,AMB,486,39,214,167,906,5871,1618,221,137,214.2,166,114,3.7,2.39,6.64,12.69,3.36,1.95,6.64,1.21,2.21,8.11,          NA,          NA,    2.184685,5.34,          NA
2003,1,ELE,661,48,217,163,1089,6700,1540,224,207,217.3,189,50,2.95,2.99,6.13,23.33,5.2,3.01,6.13,2.11,2.58,7.85,          NA,          NA,    1.936986,4.77,          NA
2003,2,ELE,747,54,228,127,1155,6845,1545,229,165,227.9,123,40,3.02,1.92,6.76,22.5,5.36,2.52,6.76,2.04,2.16,7.57,          NA,          NA,    2.311397,5.48,          NA
2003,3,AMB,644,42,219,34,939,6890,1636,245,47,218.6,69,90,3.52,1.16,8.55,19.79,5.13,0.79,8.55,2.02,0.58,7.86,          NA,          NA,    2.022822,4.94,          NA
2003,4,AMB,757,56,234,55,1102,6748,1509,238,38,234.3,40,125,3.77,0.76,8.49,25.83,6.16,0.65,8.49,2.14,0.73,8.07,          NA,          NA,    2.642164,6.3,          NA
2003,5,AMB,574,40,211,116,941,6350,1659,225,106,211.2,100,8,3.24,1.75,7.02,14.34,3.47,1.7,7.02,1.76,1.92,8.36,          NA,          NA,    2.122877,5.19,          NA
2004,1,ELE,475,34,220,224,954,7151,1575,207,289,220.2,298,22,3.64,4.45,6.08,24.22,5.26,4.23,6.08,0.95,3.58,8.02,          NA,          NA,    1.847863,4.67,     462.449
2004,2,ELE,640,40,223,116,1019,7418,1585,214,192,222.6,168,73,3.82,2.66,6.54,23.94,5.45,2.99,6.54,1.53,1.86,6.79,          NA,          NA,    1.969342,4.91,     520.082
2004,3,AMB,465,33,210,83,791,7294,1655,217,93,210.2,86,111,4.25,1.16,8.09,20.9,5.21,1.27,8.09,1.19,1.11,5.97,          NA,          NA,    1.755452,4.56,     628.860
2004,4,AMB,581,40,219,41,880,7141,1549,210,62,218.9,79,65,4.43,1.05,7.38,27.09,6.25,0.88,7.38,1.34,0.66,5.26,          NA,          NA,    2.073342,5.52,     531.168
2004,5,AMB,414,31,204,163,812,6687,1690,192,194,203.9,184,60,3.87,2.83,5.91,15.21,3.54,2.92,5.91,0.93,2.62,6.28,          NA,          NA,    1.712877,4.5,          NA
2005,1,ELE,382,28,249,228,887,7503,1603,263,213,249.3,196,5,3.54,2.4,6.83,24.95,5.31,2.39,6.83,0.79,2.5,8.28,          NA,          NA,    2.211726,5.69,          NA
2005,2,ELE,488,33,264,84,869,8036,1617,265,114,264.3,115,7,4.22,1.99,7.4,24.97,5.52,1.95,7.4,1.09,1.52,7.9,          NA,          NA,    2.885507,7.35,          NA
2005,3,AMB,415,28,240,19,702,7701,1682,258,27,240.2,31,9,4.28,0.6,8.44,21.64,5.26,0.51,8.44,0.79,0.37,6.37,          NA,          NA,    2.231288,5.46,          NA
2005,4,AMB,595,38,235,18,887,7777,1587,217,15,234.8,16,4,4.09,0.3,6.78,28.53,6.34,0.28,6.78,1.53,0.33,6.29,          NA,          NA,    2.519096,6.47,          NA
2005,5,AMB,334,24,216,95,669,7006,1714,201,104,216.3,111,23,3.54,1.81,5.97,15.79,3.58,1.63,5.97,0.62,1.55,6.69,          NA,          NA,    2.011233,5.22,          NA
2006,1,ELE,299,20,220,129,668,7715,1623,268,140,219.7,102,28,2.45,1.37,5.82,25.54,5.35,1.37,5.82,0.63,1.52,5.28,          NA,          NA,    2.426329,5.89,          NA
2006,2,ELE,368,23,238,102,731,8453,1640,275,86,238.4,46,64,2.69,0.84,7.06,25.69,5.56,1.39,7.06,0.77,1.53,6.78,          NA,          NA,    2.642822,6.32,          NA
2006,3,AMB,393,22,221,25,661,8125,1705,251,22,221,22,25,2.97,0.36,7.5,22.48,5.31,0.36,7.5,0.89,0.41,5.24,          NA,          NA,    2.241726,5.47,          NA
2006,4,AMB,406,29,195,24,653,8080,1616,212,13,195.3,23,22,2.7,0.34,6.06,29.45,6.41,0.27,6.06,0.99,0.35,5.31,          NA,          NA,    2.381616,5.65,          NA
2006,5,AMB,260,19,205,91,575,7308,1733,230,77,204.5,43,21,2.5,0.73,5.86,16.26,3.61,1.22,5.86,0.51,1.36,5.9,          NA,          NA,    2.270493,5.69,          NA
2007,1,ELE,310,22,222,98,651,8045,1631,256,130,221.7,94,74,2.45,1.26,6.1,26.15,5.4,1.23,6.1,0.65,1.25,5.23,         688,         -31,    2.160137,5.32,     363.644
2007,2,ELE,381,24,222,119,746,8579,1654,260,118,222.2,150,135,2.75,1.91,6.26,26.45,5.61,1.63,6.26,0.81,1.51,4.81,         819,         -46,    2.245671,5.38,     398.407
2007,3,AMB,357,23,207,51,637,8474,1727,199,11,206.9,51,10,2.91,0.69,6.64,23.24,5.36,0.2,6.64,0.8,0.69,4.21,         726,          99,    2.232137,5.3,     498.951
2007,4,AMB,427,29,204,15,675,8442,1645,257,15,204.1,18,14,2.88,0.29,6.69,30.35,6.47,0.25,6.69,0.96,0.24,5.14,         784,         127,    2.291315,5.53,     511.007
2007,5,AMB,267,18,211,122,618,7474,1751,265,149,210.8,142,22,2.68,2.17,6.56,16.82,3.65,2.34,6.56,0.6,1.99,6.39,         676,         -74,    2.208685,5.39,          NA
2008,1,ELE,288,17,199,80,583,8465,1648,198,100,198.7,48,7,2.37,0.71,5.06,26.72,5.43,0.92,5.06,0.6,0.89,3.5,          NA,          NA,    1.488575,3.9,     502.722
2008,2,ELE,320,16,207,48,591,8853,1671,223,72,207.1,76,15,2.92,1.15,5.6,27.02,5.64,1.08,5.6,0.6,0.75,4.04,          NA,          NA,    1.578384,4.24,     512.383
2008,3,AMB,277,17,192,70,557,8754,1745,186,44,192.4,75,4,2.99,0.94,5.52,23.78,5.39,0.55,5.52,0.58,0.88,3.85,          NA,          NA,    1.516027,4.13,     610.642
2008,4,AMB,336,25,200,14,575,8602,1658,198,7,199.8,17,50,3.06,0.31,5.92,31,6.52,0.14,5.92,0.7,0.27,3.68,          NA,          NA,    1.630110,4.39,     602.867
2008,5,AMB,180,14,190,65,449,7667,1766,180,95,190.2,91,6,2.56,1.49,4.8,17.14,3.68,1.56,4.8,0.34,1.07,2.93,          NA,          NA,    1.427151,3.94,          NA
